Time,String1Module1,String1Module2,String1Module3,String1Module4,String1Module5,String1Module6,String1Module7,String1Module8,String1Module9,String1Module10,String1Module11,String1Module12,String1Module13,String1Module14,String1Module15,String1Module16,String1Module17,String1Module18,String1Module19,String2Module1,String2Module2,String2Module3,String2Module4,String2Module5,String2Module6,String2Module7,String2Module8,String2Module9,String2Module10,String2Module11,String2Module12,String2Module13,String2Module14,String2Module15,String2Module16,String2Module17,String2Module18,String2Module19,String3Module1,String3Module2,String3Module3,String3Module4,String3Module5,String3Module6,String3Module7,String3Module8,String3Module9,String3Module10,String3Module11,String3Module12,String3Module13,String3Module14,String3Module15,String3Module16,String3Module17,String3Module18,String3Module19,String4Module1,String4Module2,String4Module3,String4Module4,String4Module5,String4Module6,String4Module7,String4Module8,String4Module9,String4Module10,String4Module11,String4Module12,String4Module13,String4Module14,String4Module15,String4Module16,String4Module17,String4Module18,String4Module19
"2024-11-15 05:21:26",55.5437,55.5105,55.5184,55.5543,55.3751,55.512,55.457,55.5679,55.5188,55.4902,55.3046,55.3676,55.3548,55.4355,55.3114,55.3042,55.2092,55.1405,55.437,55.0795,55.0757,55.1839,55.107,54.9188,55.1025,55.5803,55.4581,55.5547,55.9431,54.8965,54.8053,55.2477,55.357,55.2978,55.1538,54.7653,54.6265,54.6955,54.3734,54.3727,54.8324,54.7608,54.8324,54.4775,54.611,54.631,54.5258,54.215,54.1019,54.4677,54.5292,54.5318,54.4828,54.0774,68.4216,68.5906,68.7501,54.8988,55.1522,55.0915,55.1854,54.8287,55.1217,54.4911,55.0312,55.2454,55.1466,55.0821,55.0987,55.1172,55.1149,55.0478,55.0481,54.9591,54.9124,54.9708
"2024-11-15 05:22:31",55.5456,55.5196,55.5343,55.5648,55.3876,55.5222,55.4634,55.5637,55.5169,55.492,55.3035,55.3717,55.3672,55.4411,55.3114,55.3125,55.2115,55.153,55.44,55.0836,55.0757,55.1771,55.1059,54.9124,55.0844,55.5607,55.4426,55.5498,55.9401,54.8943,54.82,55.2292,55.3457,55.2786,55.1326,54.7521,54.6175,54.6797,54.358,54.3561,54.8279,54.7634,54.8336,54.4756,54.6129,54.625,54.502,54.2018,54.0947,54.4707,54.522,54.5262,54.4764,54.074,68.4054,68.5883,68.7456,54.9041,55.1511,55.0832,55.1877,54.8336,55.1326,54.499,55.0342,55.2424,55.1364,55.0723,55.09,55.1228,55.1251,55.0534,55.0519,54.9678,54.9131,54.9712
"2024-11-15 05:23:36",55.5267,55.5022,55.523,55.5516,55.3695,55.5203,55.4517,55.5614,55.5203,55.4822,55.2959,55.3567,55.3672,55.4517,55.3125,55.3095,55.2107,55.1504,55.4374,55.0719,55.0651,55.1768,55.1047,54.909,55.096,55.5682,55.4555,55.5471,55.9314,54.8943,54.82,55.2443,55.3544,55.3012,55.156,54.7672,54.6288,54.6974,54.3746,54.3648,54.8377,54.7615,54.8343,54.4809,54.6122,54.6307,54.5288,54.2011,54.1072,54.4704,54.5269,54.5288,54.4775,54.0778,68.4235,68.5868,68.7531,54.9071,55.1481,55.0851,55.1934,54.8388,55.1341,54.4945,55.035,55.2454,55.1428,55.0689,55.0957,55.1262,55.1292,55.0534,55.0459,54.9712,54.9199,54.9689
"2024-11-15 05:24:41",55.5365,55.5181,55.5218,55.5614,55.3827,55.5105,55.4441,55.5599,55.5222,55.4845,55.2937,55.3691,55.3593,55.4404,55.3065,55.3095,55.2009,55.1477,55.4343,55.0606,55.0583,55.1662,55.0968,54.9033,55.0776,55.5562,55.4434,55.5365,55.928,54.895,54.8271,55.2462,55.3555,55.2974,55.1538,54.7691,54.625,54.6963,54.375,54.3689,54.8219,54.7461,54.8155,54.4643,54.6039,54.6212,54.5217,54.2116,54.0951,54.453,54.5088,54.5156,54.47,54.0664,68.4182,68.5868,68.7464,54.9079,55.1526,55.0862,55.1922,54.8392,55.1345,54.5032,55.0402,55.2465,55.1439,55.0742,55.1055,55.1251,55.1289,55.0531,55.0508,54.9693,54.9112,54.978
"2024-11-15 05:25:46",55.5456,55.5166,55.5301,55.555,55.3725,55.5041,55.443,55.5498,55.5226,55.4856,55.302,55.3608,55.3555,55.4302,55.2967,55.2933,55.1975,55.1383,55.4294,55.0614,55.0666,55.1719,55.1055,54.909,55.0881,55.5675,55.4475,55.5267,55.9359,54.8943,54.8177,55.2446,55.3585,55.302,55.1496,54.7683,54.6246,54.6936,54.3761,54.3731,54.8358,54.7615,54.8226,54.473,54.6058,54.6186,54.5224,54.2124,54.1045,54.4643,54.5258,54.5254,54.4783,54.0649,68.428,68.5804,68.7547,54.9033,55.1545,55.0866,55.1888,54.8347,55.1341,54.5036,55.0376,55.248,55.1443,55.0749,55.104,55.1266,55.1289,55.0534,55.0531,54.9682,54.9177,54.9765
"2024-11-15 05:26:51",55.5384,55.5143,55.529,55.5633,55.3861,55.5211,55.4566,55.5486,55.52,55.4871,55.3039,55.368,55.3665,55.4438,55.3072,55.2952,55.2103,55.1507,55.4294,55.0719,55.0591,55.1628,55.09,54.9086,55.0923,55.566,55.4524,55.5381,55.9352,54.8909,54.8053,55.2348,55.3525,55.2873,55.1443,54.7559,54.6152,54.6857,54.3572,54.3557,54.8302,54.7589,54.8332,54.4738,54.6035,54.6182,54.5134,54.1992,54.0932,54.4685,54.5262,54.5186,54.4836,54.0657,68.4299,68.6008,68.755,54.8928,55.1375,55.0742,55.1794,54.8256,55.13,54.5005,55.0395,55.2311,55.1311,55.0644,55.0791,55.1025,55.1202,55.0478,55.0425,54.9576,54.9056,54.9633
"2024-11-15 05:27:56",55.5286,55.5026,55.5305,55.558,55.3725,55.5086,55.4374,55.546,55.5181,55.4781,55.2937,55.3661,55.3665,55.4389,55.3125,55.3076,55.2103,55.1379,55.4132,55.0557,55.0557,55.1541,55.0866,54.8947,55.0798,55.5588,55.4415,55.5169,55.9133,54.8871,54.806,55.219,55.3457,55.285,55.1398,54.7555,54.6175,54.6944,54.3636,54.3568,54.8324,54.7623,54.8204,54.4621,54.6125,54.6322,54.5281,54.2003,54.0966,54.4572,54.5134,54.5156,54.4798,54.0759,68.4269,68.5955,68.7679,54.9026,55.1451,55.0753,55.1934,54.8332,55.1273,54.4994,55.0361,55.242,55.1402,55.0606,55.1021,55.1217,55.1194,55.0515,55.0534,54.9663,54.9143,54.9644
"2024-11-15 05:29:01",55.543,55.5151,55.5301,55.5645,55.3812,55.5184,55.4536,55.5588,55.52,55.486,55.3023,55.3695,55.3612,55.4396,55.3103,55.3035,55.2107,55.1455,55.4268,55.0572,55.0466,55.1511,55.0723,54.8954,55.0723,55.5584,55.44,55.5226,55.9092,54.8931,54.8151,55.2424,55.3616,55.2907,55.1519,54.7653,54.6261,54.6921,54.3614,54.3689,54.8362,54.7581,54.8271,54.4738,54.6133,54.631,54.5232,54.2124,54.0978,54.4632,54.5194,54.5232,54.4756,54.068,68.4318,68.5985,68.7611,54.9022,55.1447,55.0844,55.1843,54.8219,55.1142,54.4866,55.0274,55.2484,55.1368,55.0723,55.0934,55.0987,55.1168,55.041,55.0489,54.9573,54.9045,54.9625
"2024-11-15 05:30:06",55.5358,55.5117,55.5283,55.5622,55.3815,55.5192,55.4517,55.5584,55.5188,55.4834,55.2959,55.3702,55.3661,55.4426,55.3042,55.3035,55.2035,55.1451,55.4283,55.0508,55.0414,55.1485,55.0768,54.8732,55.0531,55.5373,55.411,55.5215,55.9077,54.8924,54.8132,55.2273,55.3408,55.2854,55.1289,54.7532,54.6088,54.6827,54.3685,54.3765,54.8343,54.7491,54.8294,54.4741,54.6073,54.6284,54.5073,54.2083,54.1019,54.4681,54.5254,54.5247,54.4719,54.071,68.4307,68.5966,68.7626,54.9048,55.1424,55.0828,55.1888,54.8256,55.1341,54.4964,55.0357,55.2416,55.1368,55.0742,55.1025,55.1221,55.1255,55.0489,55.0474,54.9708,54.9045,54.9761
"2024-11-15 05:31:11",55.5335,55.5094,55.5369,55.5618,55.3797,55.5203,55.4419,55.566,55.5105,55.4773,55.3076,55.3672,55.3661,55.4434,55.3084,55.3091,55.2081,55.1485,55.4389,55.0493,55.0455,55.1485,55.0791,54.889,55.0663,55.5422,55.4185,55.5177,55.9163,54.9003,54.8226,55.248,55.3627,55.3001,55.1402,54.7638,54.6258,54.6868,54.3783,54.3727,54.8388,54.7585,54.8124,54.4655,54.6107,54.6303,54.5198,54.2165,54.1027,54.4606,54.5103,54.5096,54.4756,54.077,68.4307,68.6049,68.7652,54.9033,55.1541,55.0844,55.1858,54.8358,55.13,54.4971,55.0267,55.2507,55.1428,55.0689,55.1043,55.1191,55.1255,55.0512,55.0463,54.9656,54.9128,54.9637
